page_url,page_type,section_name,field_key,current_image,status,recommended_replacement,recommended_visual_style,recommended_filename,priority,notes
/solution/hydroponic-irrigation/,solution,When EC/pH Control Is Required,feature_blocks[0].image,images/brochure/hmi-touchscreen-interface.jpg,Weak,FG401 or nutrient tanks with real EC/pH UI,UI screenshot / product photo,images/solution/hydroponic-irrigation/ecph-control.jpg,High,Brochure UI mock wrong context
/solution/solar-powered-irrigation/,solution,Hero,hero.image,images/brochure/lora-hero-remote-irrigation.webp,Weak,Solar pump panel array and field distribution,Real engineering photo,images/solution/solar-powered-irrigation/hero-solar-pump-field.jpg,High,Not solar-specific today
/solution/solar-powered-irrigation/,solution,Off-Grid Layout,zone_flow.steps,(none),Missing,Solar pump tank gateway valves diagram,System architecture visual,images/solution/solar-powered-irrigation/off-grid-flow.svg,Medium,Text steps only
/solution/solar-powered-irrigation/,solution,IC06 pump install (optional),product_modules,(none),Missing,PKY-IC06-PUMP at bore or tank install,Product studio / field photo,images/solution/solar-powered-irrigation/ic06-pump-install.jpg,Low,No image on page for solar pump SKU
/applications/orchard-irrigation/,application,Hero,hero.image,images/brochure/applications-orchard.jpg,Weak,20 ha class orchard blocks and laterals,Real engineering photo,images/applications/orchard-irrigation/hero-20ha-blocks.jpg,High,Application needs project photo
/applications/orchard-irrigation/,application,20 Hectare Class Projects,feature_blocks[0].image,images/brochure/applications-orchard.jpg,Placeholder,Duplicate of hero; aerial or manifold view,AI-enhanced real scene,images/applications/orchard-irrigation/scenario-large-orchard.jpg,High,Same file twice
/applications/orchard-irrigation/,application,Crops Covered,feature_blocks[1].image,images/solution/open-field-irrigation-control-system-architecture.png,Weak,Crop-specific orchard row not architecture diagram,Real engineering photo,images/applications/orchard-irrigation/scenario-crops-row.jpg,High,Diagram feels abstract on app page
/applications/tomato-drip-irrigation/,application,Hero,hero.image,images/brochure/applications-greenhouse.jpg,Weak,Tomato greenhouse drip bays and manifold,Real engineering photo,images/applications/tomato-drip-irrigation/hero-greenhouse-tomato.jpg,High,Not tomato-specific
/applications/tomato-drip-irrigation/,application,1 ha layout (optional),reference_table,(none),Missing,1 ha greenhouse bay layout or schematic,Real engineering photo,images/applications/tomato-drip-irrigation/greenhouse-1ha-layout.jpg,Medium,Table-only section
/docs/irrigation-filter-selection/,docs,Hero,hero.image,(none),Missing,Sand and disc filters inline at pump station,Real engineering photo,images/docs/irrigation-filter-selection/hero-filters-inline.jpg,Medium,Text-only hero today
/docs/irrigation-filter-selection/,docs,Filter stages (optional),reference_table,(none),Missing,Photo strip of filter stages,Real engineering photo,images/docs/irrigation-filter-selection/filter-stages.jpg,Low,Supports table content
/docs/drip-irrigation-blockage/,docs,Hero,hero.image,(none),Missing,Emitter maintenance flush or clogged vs clean,Real engineering photo,images/docs/drip-irrigation-blockage/hero-emitter-maintenance.jpg,Medium,Text-only hero
/docs/drip-irrigation-blockage/,docs,Maintenance (optional),doc_sections,(none),Missing,Disc filter backwash or line flush operation,Real engineering photo,images/docs/drip-irrigation-blockage/maintenance-flush.jpg,Low,Supports checklist sections
/docs/fertigation-basics/,docs,Hero,hero.image,(none),Missing,Fertigation tanks and dosing at pump room,Real engineering photo,images/docs/fertigation-basics/hero-tanks-dosing.jpg,Medium,Text-only hero
/docs/fertigation-basics/,docs,Tank lines (optional),reference_table,(none),Missing,Labeled A/B/acid stock tanks,Real engineering photo,images/docs/fertigation-basics/tank-stock-lines.jpg,Low,Supports compatibility table
